key,en,ru,vi
hero.headline,Brew Brava — Craft Beer, Nha Trang,Brew Brava — Craft Beer, Nha Trang,Brew Brava — Craft Beer, Nha Trang
hero.tagline,Craft beer brewed with soul on the seaside,Крафтовое пиво, сваренное с душой на берегу моря,Bia thủ công được ủ bằng cả tâm huyết bên bờ biển
hero.ctas.visit,Visit the brewery,Приехать в пивоварню,Đến thăm nhà máy
hero.ctas.contact,Get in touch,Связаться,Liên hệ
hero.ctas.partner,Become a partner,Стать партнёром,Trở thành đối tác
brewing.title,Honest brewing, vibrant ingredients,Честная варка, натуральные ингредиенты,Quy trình ủ chân thật, nguyên liệu sống động
beersIntro.title,Our beers,Наши сорта,Các dòng bia
b2b.form.submit,Send request,Отправить заявку,Gửi yêu cầu
contact.ctaDirections,Get directions,Проложить маршрут,Chỉ đường
footer.privacy,Privacy Policy,Политика конфиденциальности,Chính sách bảo mật
footer.terms,Terms of Service,Условия использования,Điều khoản sử dụng
